epoch,step,train/cardinality_error,train/cardinality_error_0,train/cardinality_error_1,train/cardinality_error_enc,train/class_error,train/loss,train/loss_bbox,train/loss_bbox_aux,train/loss_ce,train/loss_ce_aux,train/loss_giou,train/loss_giou_aux,train/lr,train/lr_max,train/lr_min,val/F1,val/ema_mAP_50,val/ema_mAP_50_95,val/ema_mAP_75,val/ema_mAR,val/mAP_50,val/mAP_50_95,val/mAP_75,val/mAR,val/precision,val/recall
0,49,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,99,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
0,116,,,,,,,,,,,,,,,,0.6850998401641846,0.7021498680114746,0.43523120880126953,0.4627872407436371,0.7003030180931091,0.7021498680114746,0.43523120880126953,0.4627872407436371,0.7003030180931091,0.6947040557861328,0.6757575869560242
0,116,9.476495742797852,3.8440170288085938,7.86965799331665,3.115384578704834,29.01383399963379,7.605489253997803,0.07243151217699051,0.22491243481636047,0.9542511105537415,3.19646954536438,0.24260440468788147,0.7414228916168213,,,,,,,,,,,,,,
1,149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
1,233,,,,,,,,,,,,,,,,0.7512521147727966,0.78453129529953,0.5028101205825806,0.5601724982261658,0.7099999785423279,0.78453129529953,0.5028101205825806,0.5601724982261658,0.7099999785423279,0.8364312052726746,0.6818181872367859
1,233,20.423076629638672,16.230770111083984,19.86111068725586,13.741453170776367,0.0367080494761467,5.78851318359375,0.054161157459020615,0.18089792132377625,0.6933322548866272,2.3977558612823486,0.1789303869009018,0.5821349024772644,,,,,,,,,,,,,,
2,249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
2,350,,,,,,,,,,,,,,,,0.7633587718009949,0.7964750528335571,0.522106409072876,0.5665609836578369,0.710303008556366,0.7964750528335571,0.522106409072876,0.5665609836578369,0.710303008556366,0.7692307829856873,0.7575757503509521
2,350,21.824787139892578,19.871795654296875,21.2243595123291,19.46581268310547,0.006574435159564018,5.394777774810791,0.05381142720580101,0.17821134626865387,0.6352812647819519,2.1263480186462402,0.17398415505886078,0.5625324249267578,,,,,,,,,,,,,,
3,399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
3,467,,,,,,,,,,,,,,,,0.7804107666015625,0.8024477362632751,0.5316835045814514,0.5954294204711914,0.7136363387107849,0.8024477362632751,0.5316835045814514,0.5954294204711914,0.7136363387107849,0.8151814937591553,0.7484848499298096
3,467,22.790597915649414,21.260683059692383,23.047008514404297,22.574787139892578,0.0065744188614189625,5.0158257484436035,0.048817820847034454,0.17261956632137299,0.5882084965705872,1.909927487373352,0.16328799724578857,0.541964590549469,,,,,,,,,,,,,,
4,499,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,549,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
4,584,,,,,,,,,,,,,,,,0.8013029098510742,0.8187885880470276,0.5459453463554382,0.6044667959213257,0.7154545187950134,0.8187885880470276,0.5459453463554382,0.6044667959213257,0.7154545187950134,0.8661971688270569,0.7454545497894287
4,584,24.741453170776367,23.10897445678711,24.427350997924805,23.33760643005371,0.036160215735435486,4.696459770202637,0.045462850481271744,0.1645490527153015,0.5416897535324097,1.7658034563064575,0.154916912317276,0.5145353078842163,,,,,,,,,,,,,,
5,599,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,649,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,699,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
5,701,,,,,,,,,,,,,,,,0.805111825466156,0.831917941570282,0.5505164265632629,0.5880137085914612,0.7196969985961914,0.831917941570282,0.5505164265632629,0.5880137085914612,0.7196969985961914,0.8513513803482056,0.7636363506317139
5,701,24.0256404876709,23.10683822631836,24.096153259277344,24.081195831298828,0.004108917899429798,4.557254791259766,0.0428122878074646,0.1523236483335495,0.5372793674468994,1.740626573562622,0.15226170420646667,0.49957385659217834,,,,,,,,,,,,,,
6,749,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,799,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
6,818,,,,,,,,,,,,,,,,0.8105436563491821,0.8345134854316711,0.5598166584968567,0.613365113735199,0.7227272987365723,0.8345134854316711,0.5598166584968567,0.613365113735199,0.7227272987365723,0.8880866169929504,0.7454545497894287
6,818,25.405982971191406,23.628204345703125,25.14316177368164,24.239316940307617,0.005204698070883751,4.4567108154296875,0.04155389964580536,0.15293946862220764,0.5121062994003296,1.6741024255752563,0.14889290928840637,0.5001242160797119,,,,,,,,,,,,,,
7,849,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,899,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
7,935,,,,,,,,,,,,,,,,0.8155339956283569,0.8365936279296875,0.5631427764892578,0.6188651323318481,0.7278788089752197,0.8365936279296875,0.5631427764892578,0.6188651323318481,0.7278788089752197,0.875,0.7636363506317139
7,935,25.418804168701172,23.58974266052246,25.232906341552734,24.13888931274414,0.0054786549881100655,4.422348499298096,0.0418270118534565,0.15254426002502441,0.5047622323036194,1.677366852760315,0.1450982242822647,0.48908334970474243,,,,,,,,,,,,,,
8,949,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
8,999,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
8,1049,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
8,1052,,,,,,,,,,,,,,,,0.8227642178535461,0.8313561081886292,0.5611802935600281,0.6068355441093445,0.7300000190734863,0.8313561081886292,0.5611802935600281,0.6068355441093445,0.7300000190734863,0.8877192735671997,0.7666666507720947
8,1052,26.104700088500977,25.123931884765625,26.079059600830078,26.10897445678711,-1.9562550335194828e-07,4.2716498374938965,0.04033425822854042,0.14516186714172363,0.4884963035583496,1.601379156112671,0.14495356380939484,0.4821939468383789,,,,,,,,,,,,,,
9,1099,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
9,1149,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
9,1169,,,,,,,,,,,,,,,,0.8114104866981506,0.8346588015556335,0.5594885945320129,0.5994943976402283,0.732424259185791,0.8346588015556335,0.5594885945320129,0.5994943976402283,0.732424259185791,0.8504983186721802,0.7757575511932373
9,1169,27.269229888916016,25.850427627563477,26.989316940307617,25.867521286010742,0.003081655828282237,4.245136737823486,0.04085647314786911,0.15079092979431152,0.47468483448028564,1.5655300617218018,0.14299336075782776,0.4803488552570343,,,,,,,,,,,,,,
10,1199,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
10,1249,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
10,1286,,,,,,,,,,,,,,,,0.8176100850105286,0.8312732577323914,0.5609591007232666,0.6021581888198853,0.7230303287506104,0.8312732577323914,0.5609591007232666,0.6021581888198853,0.7230303287506104,0.8496732115745544,0.7878788113594055
10,1286,26.7286319732666,24.540597915649414,26.626068115234375,26.450855255126953,0.009861676953732967,4.2186102867126465,0.03874994441866875,0.1486906111240387,0.4729512929916382,1.5790090560913086,0.13867010176181793,0.4760523736476898,,,,,,,,,,,,,,
11,1299,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
11,1349,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
11,1399,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
11,1403,,,,,,,,,,,,,,,,0.8184713125228882,0.8319540619850159,0.5605427026748657,0.5944915413856506,0.7227272987365723,0.8319540619850159,0.5605427026748657,0.5944915413856506,0.7227272987365723,0.8624160885810852,0.7787878513336182
11,1403,27.69871711730957,25.97222137451172,27.461538314819336,26.786325454711914,0.004930740687996149,4.030770778656006,0.03848560154438019,0.1399534046649933,0.4482516348361969,1.5052436590194702,0.1355735957622528,0.4569675922393799,,,,,,,,,,,,,,
12,1449,,,,,,,,,,,,,9.999999747378752e-05,9.999999747378752e-05,3.232564267818816e-06,,,,,,,,,,,
